Description,p.adjust,Regulation,CellType,Comparison
Neutrophil extracellular trap formation - Mus musculus (house mouse),0.03754768165823344,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Rap1 signaling pathway - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Lipid and atherosclerosis - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Cholinergic synapse - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Pancreatic secretion - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
HIF-1 signaling pathway - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),0.039472695181087626,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Nicotine addiction - Mus musculus (house mouse),0.04023615367157112,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Platelet activation - Mus musculus (house mouse),0.046031492531054444,Down,ExcitatoryNeuronsMatureDG,24hrvs1hr_SAL
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),1.2091118178517363e-4,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Cell adhesion molecules - Mus musculus (house mouse),3.7576961340634034e-4,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Taste transduction - Mus musculus (house mouse),0.014064519006615539,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Calcium signaling pathway - Mus musculus (house mouse),0.014064519006615539,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.014184353057108717,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Dilated cardiomyopathy - Mus musculus (house mouse),0.014184353057108717,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Cholinergic synapse - Mus musculus (house mouse),0.017777649088254875,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
GnRH secretion - Mus musculus (house mouse),0.029049908175678214,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Oxytocin signaling pathway - Mus musculus (house mouse),0.033075234146108405,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Gastric acid secretion - Mus musculus (house mouse),0.033075234146108405,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),0.033075234146108405,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Renin secretion - Mus musculus (house mouse),0.033075234146108405,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
cGMP-PKG signaling pathway - Mus musculus (house mouse),0.03628423592718088,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Gap junction - Mus musculus (house mouse),0.03628423592718088,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Insulin secretion - Mus musculus (house mouse),0.03628423592718088,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Salivary secretion - Mus musculus (house mouse),0.03628423592718088,Down,ExcitatoryNeuronsMatureDG,PTZvsSAL_1hr
Prion disease - Mus musculus (house mouse),0.017683469699804777,Up,ExcitatoryNeuronsMatureDG,PTZvsSAL_24hr
Huntington disease - Mus musculus (house mouse),0.017683469699804777,Up,ExcitatoryNeuronsMatureDG,PTZvsSAL_24hr
Amyotrophic lateral sclerosis - Mus musculus (house mouse),0.024931635962659578,Up,ExcitatoryNeuronsMatureDG,PTZvsSAL_24hr
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.04632321322184979,Up,ExcitatoryNeuronsMatureDG,PTZvsSAL_24hr
Axon guidance - Mus musculus (house mouse),6.406846656369571e-11,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),3.65283257408958e-5,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),0.004114600208493286,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),0.004114600208493286,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
GABAergic synapse - Mus musculus (house mouse),0.0056470068135001114,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Adherens junction - Mus musculus (house mouse),0.0056470068135001114,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Circadian entrainment - Mus musculus (house mouse),0.007642098714102369,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Amphetamine addiction - Mus musculus (house mouse),0.009315353163440496,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.012386925390965621,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Bacterial invasion of epithelial cells - Mus musculus (house mouse),0.012386925390965621,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),0.018310371700444743,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.018310371700444743,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Serotonergic synapse - Mus musculus (house mouse),0.020808314693764086,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Morphine addiction - Mus musculus (house mouse),0.020808314693764086,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Spinocerebellar ataxia - Mus musculus (house mouse),0.021886545362806133,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),0.023639656460653097,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Melanogenesis - Mus musculus (house mouse),0.023639656460653097,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.028489009958689856,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Rap1 signaling pathway - Mus musculus (house mouse),0.0329004999079284,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Non-small cell lung cancer - Mus musculus (house mouse),0.03938067780387835,Up,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Insulin secretion - Mus musculus (house mouse),2.5175739834180043e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Pancreatic secretion - Mus musculus (house mouse),0.009837860043976493,Down,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Ras signaling pathway - Mus musculus (house mouse),0.025466872348391102,Down,L23ExcitatoryNeurons,24hrvs1hr_PTZ
Salmonella infection - Mus musculus (house mouse),7.396570325795051e-10,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Parkinson disease - Mus musculus (house mouse),9.465856018813724e-10,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Alzheimer disease - Mus musculus (house mouse),3.699556209368668e-8,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Phagosome - Mus musculus (house mouse),1.0364306414411944e-7,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Motor proteins - Mus musculus (house mouse),1.6605039015924102e-7,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),2.0664951004349851e-7,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Prion disease - Mus musculus (house mouse),1.8275966344131369e-6,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Gastric acid secretion - Mus musculus (house mouse),1.8275966344131369e-6,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Gap junction - Mus musculus (house mouse),3.70541841163493e-6,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Fluid shear stress and atherosclerosis - Mus musculus (house mouse),4.33012925331664e-6,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Amyotrophic lateral sclerosis - Mus musculus (house mouse),1.851949077209175e-5,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Estrogen signaling pathway - Mus musculus (house mouse),3.765338253793173e-5,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Huntington disease - Mus musculus (house mouse),3.765338253793173e-5,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
cGMP-PKG signaling pathway - Mus musculus (house mouse),1.388978478878342e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Thyroid hormone signaling pathway - Mus musculus (house mouse),3.2528718121698446e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Lipid and atherosclerosis - Mus musculus (house mouse),4.5349096964796833e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Apoptosis - Mus musculus (house mouse),5.237808304950352e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Oxytocin signaling pathway - Mus musculus (house mouse),8.938619426364503e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),9.00146347676946e-4,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Salivary secretion - Mus musculus (house mouse),0.0011480317162791773,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Tight junction - Mus musculus (house mouse),0.0012211055414717287,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.002079320046654344,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Rap1 signaling pathway - Mus musculus (house mouse),0.0033103848786260174,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Carbohydrate digestion and absorption - Mus musculus (house mouse),0.0033103848786260174,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
cAMP signaling pathway - Mus musculus (house mouse),0.0036806117668841884,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Glioma - Mus musculus (house mouse),0.009998781699493458,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Pertussis - Mus musculus (house mouse),0.010387663046000715,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Influenza A - Mus musculus (house mouse),0.01129406115283132,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Necroptosis - Mus musculus (house mouse),0.011548004388825807,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Proximal tubule bicarbonate reclamation - Mus musculus (house mouse),0.011548004388825807,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Tuberculosis - Mus musculus (house mouse),0.011548004388825807,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Cellular senescence - Mus musculus (house mouse),0.011882408132374345,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Antigen processing and presentation - Mus musculus (house mouse),0.012064233637664571,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.01415956672612014,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Fc gamma R-mediated phagocytosis - Mus musculus (house mouse),0.01417927853503049,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Phototransduction - Mus musculus (house mouse),0.014569927576517722,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Neutrophil extracellular trap formation - Mus musculus (house mouse),0.016612565150600687,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Glucagon signaling pathway - Mus musculus (house mouse),0.0173813139768603,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Diabetic cardiomyopathy - Mus musculus (house mouse),0.017886989973855166,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Prostate cancer - Mus musculus (house mouse),0.017886989973855166,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),0.01919870973806446,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
C-type lectin receptor signaling pathway - Mus musculus (house mouse),0.019361638379279757,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.02072677044699733,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
HIF-1 signaling pathway - Mus musculus (house mouse),0.02072677044699733,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Regulation of actin cytoskeleton - Mus musculus (house mouse),0.02072677044699733,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Neurotrophin signaling pathway - Mus musculus (house mouse),0.02154590900746918,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Aldosterone-regulated sodium reabsorption - Mus musculus (house mouse),0.02154590900746918,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Human immunodeficiency virus 1 infection - Mus musculus (house mouse),0.02154590900746918,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Platelet activation - Mus musculus (house mouse),0.023029421612058457,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Yersinia infection - Mus musculus (house mouse),0.027853357554778378,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Dopaminergic synapse - Mus musculus (house mouse),0.027861394445132668,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Apelin signaling pathway - Mus musculus (house mouse),0.028448235798744444,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Insulin signaling pathway - Mus musculus (house mouse),0.028448235798744444,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Vascular smooth muscle contraction - Mus musculus (house mouse),0.030153845700381987,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Ubiquitin mediated proteolysis - Mus musculus (house mouse),0.03678675995095892,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Mineral absorption - Mus musculus (house mouse),0.03758470682036494,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Legionellosis - Mus musculus (house mouse),0.04346725349104919,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Longevity regulating pathway - multiple species - Mus musculus (house mouse),0.04346725349104919,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),0.04346725349104919,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Hepatocellular carcinoma - Mus musculus (house mouse),0.0458862217151313,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Protein processing in endoplasmic reticulum - Mus musculus (house mouse),0.046517811759262624,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Glycolysis / Gluconeogenesis - Mus musculus (house mouse),0.04863029899036777,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Long-term potentiation - Mus musculus (house mouse),0.04863029899036777,Down,L23ExcitatoryNeurons,24hrvs1hr_SAL
Glutamatergic synapse - Mus musculus (house mouse),9.001288472653288e-5,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
MAPK signaling pathway - Mus musculus (house mouse),9.001288472653288e-5,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Oxytocin signaling pathway - Mus musculus (house mouse),3.015822792737425e-4,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Insulin secretion - Mus musculus (house mouse),3.1386682979748294e-4,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Morphine addiction - Mus musculus (house mouse),4.225401455223635e-4,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Circadian entrainment - Mus musculus (house mouse),5.678721252148507e-4,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Ras signaling pathway - Mus musculus (house mouse),0.0038275793159980517,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Spinocerebellar ataxia - Mus musculus (house mouse),0.0038275793159980517,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Dilated cardiomyopathy - Mus musculus (house mouse),0.004258017624440856,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Long-term potentiation - Mus musculus (house mouse),0.004258017624440856,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.0047955785644497335,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cortisol synthesis and secretion - Mus musculus (house mouse),0.004977093792947521,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Pancreatic secretion - Mus musculus (house mouse),0.005418917295600807,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
cAMP signaling pathway - Mus musculus (house mouse),0.0070157810057605826,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),0.00905379845728673,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Dopaminergic synapse - Mus musculus (house mouse),0.011130214497316552,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Progesterone-mediated oocyte maturation - Mus musculus (house mouse),0.011395101878800301,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Phosphatidylinositol signaling system - Mus musculus (house mouse),0.012414933109514265,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.014118245704689275,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),0.017372830183194098,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cholinergic synapse - Mus musculus (house mouse),0.022761479630240257,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Circadian rhythm - Mus musculus (house mouse),0.023670098624407918,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Oocyte meiosis - Mus musculus (house mouse),0.02886966205169094,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Platelet activation - Mus musculus (house mouse),0.030674941127884978,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Nicotine addiction - Mus musculus (house mouse),0.03234644782165003,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse),0.03234644782165003,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
FoxO signaling pathway - Mus musculus (house mouse),0.03430791654167205,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Purine metabolism - Mus musculus (house mouse),0.03508993488024901,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Yersinia infection - Mus musculus (house mouse),0.03508993488024901,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Neuroactive ligand signaling - Mus musculus (house mouse),0.035646640153761774,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Salivary secretion - Mus musculus (house mouse),0.035646640153761774,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Apelin signaling pathway - Mus musculus (house mouse),0.035907128132382504,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cardiac muscle contraction - Mus musculus (house mouse),0.03627743133769239,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
GnRH signaling pathway - Mus musculus (house mouse),0.0366196674081439,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Vascular smooth muscle contraction - Mus musculus (house mouse),0.03691423249349134,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Adherens junction - Mus musculus (house mouse),0.03735231736082584,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Phospholipase D signaling pathway - Mus musculus (house mouse),0.04020872992873778,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Rap1 signaling pathway - Mus musculus (house mouse),0.04378992050885518,Up,L23ExcitatoryNeurons,PTZvsSAL_1hr
Axon guidance - Mus musculus (house mouse),1.880326008415487e-8,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Motor proteins - Mus musculus (house mouse),3.3621966716447166e-7,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),4.580953884945492e-6,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Gap junction - Mus musculus (house mouse),4.24735379973941e-5,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),4.24735379973941e-5,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Prion disease - Mus musculus (house mouse),4.24735379973941e-5,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Salmonella infection - Mus musculus (house mouse),9.995464540663331e-5,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Alzheimer disease - Mus musculus (house mouse),3.179035074153408e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Huntington disease - Mus musculus (house mouse),5.673909625844541e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Circadian entrainment - Mus musculus (house mouse),6.725675360762966e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Dopaminergic synapse - Mus musculus (house mouse),6.725675360762966e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Amyotrophic lateral sclerosis - Mus musculus (house mouse),6.725675360762966e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Phagosome - Mus musculus (house mouse),7.172506829915264e-4,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Glutamatergic synapse - Mus musculus (house mouse),0.0014117633038376236,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Thyroid hormone signaling pathway - Mus musculus (house mouse),0.0015450513807909916,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cell adhesion molecules - Mus musculus (house mouse),0.0032011809782947413,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
GnRH secretion - Mus musculus (house mouse),0.0032011809782947413,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.0034343935427061383,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Dilated cardiomyopathy - Mus musculus (house mouse),0.003630629546272463,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Long-term potentiation - Mus musculus (house mouse),0.003630629546272463,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Aldosterone synthesis and secretion - Mus musculus (house mouse),0.003636991197107921,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Amphetamine addiction - Mus musculus (house mouse),0.0037849704217156927,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Nicotine addiction - Mus musculus (house mouse),0.004081527563794859,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Retrograde endocannabinoid signaling - Mus musculus (house mouse),0.0042790642172309545,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Oxytocin signaling pathway - Mus musculus (house mouse),0.0042790642172309545,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Calcium signaling pathway - Mus musculus (house mouse),0.004338943839817172,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Parkinson disease - Mus musculus (house mouse),0.006970569539224738,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cytoskeleton in muscle cells - Mus musculus (house mouse),0.009483767954449182,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
GABAergic synapse - Mus musculus (house mouse),0.010115840745080745,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
ATP-dependent chromatin remodeling - Mus musculus (house mouse),0.010389740554157366,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Serotonergic synapse - Mus musculus (house mouse),0.010437240492603746,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
MAPK signaling pathway - Mus musculus (house mouse),0.010785522741566725,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Proteoglycans in cancer - Mus musculus (house mouse),0.01648195597314716,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Hippo signaling pathway - Mus musculus (house mouse),0.019447948566516788,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cushing syndrome - Mus musculus (house mouse),0.021359906619046885,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cholinergic synapse - Mus musculus (house mouse),0.021755518487914783,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Cortisol synthesis and secretion - Mus musculus (house mouse),0.0227673666112406,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",0.023015825135099165,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Gastric acid secretion - Mus musculus (house mouse),0.02498452526967065,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Hepatocellular carcinoma - Mus musculus (house mouse),0.027164473051968376,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Insulin secretion - Mus musculus (house mouse),0.03842804045262768,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Yersinia infection - Mus musculus (house mouse),0.03897491952841619,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Neuroactive ligand signaling - Mus musculus (house mouse),0.042137167987737485,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Type II diabetes mellitus - Mus musculus (house mouse),0.042137167987737485,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Spinocerebellar ataxia - Mus musculus (house mouse),0.042137167987737485,Down,L23ExcitatoryNeurons,PTZvsSAL_1hr
Nicotine addiction - Mus musculus (house mouse),0.011053940055834186,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Cholinergic synapse - Mus musculus (house mouse),0.011053940055834186,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Dopaminergic synapse - Mus musculus (house mouse),0.01489736615817888,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Synaptic vesicle cycle - Mus musculus (house mouse),0.024702089856879626,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Axon guidance - Mus musculus (house mouse),0.024702089856879626,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
GABAergic synapse - Mus musculus (house mouse),0.024702089856879626,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Morphine addiction - Mus musculus (house mouse),0.024702089856879626,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Glycosaminoglycan biosynthesis - heparan sulfate / heparin - Mus musculus (house mouse),0.024702089856879626,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Glutamatergic synapse - Mus musculus (house mouse),0.041896810201129765,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Calcium signaling pathway - Mus musculus (house mouse),0.04453542705756223,Up,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Salmonella infection - Mus musculus (house mouse),1.1445599447337197e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Gap junction - Mus musculus (house mouse),1.1445599447337197e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),1.1445599447337197e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Phagosome - Mus musculus (house mouse),6.169301521873134e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Parkinson disease - Mus musculus (house mouse),6.858457633595327e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Motor proteins - Mus musculus (house mouse),6.858457633595327e-4,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Hypertrophic cardiomyopathy - Mus musculus (house mouse),0.0019221348054890967,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Dilated cardiomyopathy - Mus musculus (house mouse),0.001936645592506028,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),0.004155448276510722,Down,L45ExcitatoryNeurons,24hrvs1hr_PTZ
